orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐπαίρει,(),False,·,False,True,False,False,,,,,,,,
σιτεῖταί,σιτεῖταί,σιτεῖταί,σιτεῖταί,αί,σ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,σιτεῖταί,(),False,xxxx͂xxx́,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,σιτεῖταί,(),True,xx,True,False,False,False,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,σιτεῖταί,(),False,xx̓,False,False,False,False,,,,,,,,
οὐράνιον,οὐράνιον,οὐράνιος,οὐράνιον,ιον,ο,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,τροφήν,(),False,xx̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
τροφήν,τροφήν,τροφή,τροφήν,ήν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,σιτεῖταί,(),False,xxxx́x,False,False,False,False,Acc,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὀρέγει,(),False,",",False,True,False,False,,,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ὀρέγει,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ὀρέγει,ὀρέγει,ὀρέγω,ὀρέγει,γει,ο,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,τροφήν,"(κτὰ,)",False,x̓xx́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,φιλοθεάμοσι,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,
φιλοθεάμοσι,φιλοθεάμοσι,φιλοθεάμων,φιλοθεάμοσι,οσι,φ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,ὀρέγει,(),False,xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,λόγων,(),False,xxx̀,False,False,False,False,,,,,,,,
λόγων,λόγων,λόγος,λόγων,γων,λ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,ὀρέγει,"(δογμάτων,)",False,xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λόγων,(),False,xxx̀,False,False,False,False,,,,,,,,
δογμάτων,δογμάτων,δογμάτων,δογμάτων,των,δ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,λόγων,"(λόγων,)",False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,
σοφία,σοφία,σοφία,σοφία,ία,σ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ὀρέγει,(),False,xxxx́x,False,False,False,False,Dat,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὴν,(),False,",",False,True,False,False,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἣν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ὀρέγει,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἀναδιδομένην,(),False,’,False,True,False,False,,,,,,,,
ἀναδιδομένην,ἀναδιδομένην,ἀναδιδομένην,ἀναδιδομένην,νην,α,-20.0,VERB,v-sppefa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,obl,0.0,κτὰ,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Pres,Part,Mid,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,γῆς,(),False,x̓x,False,False,False,False,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἀναδιδομένην,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,
κτὰ,κτὰ,κτὰ,κτὰ,τὰ,κ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ὀρέγει,"(ὀρέγει,)",False,xxx̀,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ὥρας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἐτησίους,ἐτησίους,ἐτησίους,ἐτησίους,ους,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ὥρας,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
ὥρας,ὥρας,ὥρα,ὥρας,ρας,ω,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,κτὰ,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἰνοφλυγίαι,(),False,",",False,True,False,False,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἧς,(),False,x̓x,False,False,False,False,,,,,,,,
ἧς,ἧς,ἧς,ἧς,̔͂ς,η,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,οἰνοφλυγίαι,(),False,x̔͂x,False,False,False,False,Gen,Fem,Sing,,,,,
οἰνοφλυγίαι,οἰνοφλυγίαι,οἰνοφλυγία,οἰνοφλυγίαι,́αι,ο,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,dep,0.0,ὥρας,"(ὀψοφαγίαι, λαιμαργίαι)",False,xx̓xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,οἰνοφλυγίαι,(),False,xxx̀,False,False,False,False,,,,,,,,
ὀψοφαγίαι,ὀψοφαγίαι,ὀψοφαγία,ὀψοφαγίαι,́αι,ο,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,οἰνοφλυγίαι,"(οἰνοφλυγίαι, λαιμαργίαι)",False,x̓xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οἰνοφλυγίαι,(),False,xxx̀,False,False,False,False,,,,,,,,
λαιμαργίαι,λαιμαργίαι,λαιμαργία,λαιμαργίαι,́αι,λ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,οἰνοφλυγίαι,"(οἰνοφλυγίαι, ὀψοφαγίαι)",False,xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,;,(),False,",",False,True,False,False,,,,,,,,
&,&,&,&,&,&,-20.0,ADV,d--------,,advmod,0.0,γτ,(),False,&,False,True,False,False,,,,,,,,
γτ,γτ,γτ,γτ,γτ,γ,-20.0,ADV,d--------,,advmod,0.0,",",(),False,xx,True,False,False,False,,,,,,,,
;,;,;,;,;,;,-20.0,ADV,d--------,,advmod,0.0,οἰνοφλυγίαι,(),False,;,False,True,False,False,,,,,,,,
