orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree,Aspect
συνεκτικωτάτην,συνεκτικωτάτην,συνεκτικωτάτην,συνεκτικωτάτην,την,σ,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,conj,0.0,μεγάλην,"(μεγάλην,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,Sup,
δύναμιν,δύναμιν,δύναμις,δύναμιν,μιν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἐπιδείκνυται,"(ἐπιδείκνυται,)",False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,*,(),False,",",False,True,False,False,,,,,,,,,,
*,*,*,*,*,*,-20.0,ADV,d--------,,dep,0.0,δύναμιν,(),False,*,False,True,False,False,,,,,,,,,,
*,*,*,*,*,*,-20.0,ADV,d--------,,dep,0.0,δύναμιν,(),False,*,False,True,False,False,,,,,,,,,,
*,*,*,*,*,*,-20.0,ADV,d--------,,dep,0.0,δύναμιν,(),False,*,False,True,False,False,,,,,,,,,,
οἷς,οἷς,οἷς,οἷς,̔͂ς,ο,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,πέφυκε,(),False,xx̔͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ἐπίγεια,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,,
ἐπίγεια,ἐπίγεια,ἐπίγειος,ἐπίγεια,εια,ε,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,πέφυκε,(),False,x̓xx́xxxx,False,False,False,False,Nom,Neut,Plur,,,,,,,
πάντα,πάντα,πάς,πάντα,ντα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,ἐπίγεια,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,,
πέφυκε,πέφυκε,πέφυκα,πέφυκε,υκε,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,δύναμιν,"(σελήνης,)",False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,,Perf
βελτιοῦσθαι,βελτιοῦσθαι,βελτιοῦσθαι,βελτιοῦσθαι,θαι,β,-20.0,VERB,V-,Tense=Pres|VerbForm=Inf|Voice=Pass,advcl,0.0,πέφυκε,(),False,xxxx͂xxxx,False,False,False,False,,,,,,Pres,Inf,Pass,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σελήνης,(),False,",",False,True,False,False,,,,,,,,,,
σελήνης,σελήνης,σελήνη,σελήνης,νης,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,πέφυκε,"(πέφυκε,)",False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,PART,g--------,,cc,0.0,οἷς,(),True,xx,True,False,False,False,,,,,,,,,,
περιόδοις,περιόδοις,περιόδος,περιόδοις,οις,π,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,conj,0.0,νοητοῖς,"(νοητοῖς,)",False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐπιδείκνυται,(),False,.,False,True,False,False,,,,,,,,,,
