orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
ἐπινήχεσθαι,ἐπινήχεσθαι,ἐπινήχομαι,ἐπινήχεσθαι,θαι,ε,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,xcomp,0.0,δυνάμενα,(),False,x̓xxxx́xxxx,False,False,False,False,,,,Pres,Inf,Mid,,,
δυνάμενα,δυνάμενα,δυνάμενα,δυνάμενα,ενα,δ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐκτρέπεται,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Mid,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὰ,(),False,",",False,True,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,δυνάμενα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,δυνάμενα,(),False,xx̀,False,False,False,False,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μέσον,(),False,xxxx̀,False,False,False,False,,,,,,,,,
μέσον,μέσον,μέσος,μέσον,σον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,διαιτώμενα,"(πέλαγος,)",False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μέσον,(),False,xxx̀,False,False,False,False,,,,,,,,,
βαθὺ,βαθὺ,βαθὺ,βαθὺ,θὺ,β,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,πέλαγος,(),False,xxxx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
πέλαγος,πέλαγος,πέλαγος,πέλαγος,γος,π,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,μέσον,"(μέσον,)",False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,
διαιτώμενα,διαιτώμενα,διαιτώμενα,διαιτώμενα,ενα,δ,-20.0,VERB,v-sppefn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐκτρέπεται,(),False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,Pres,Part,Mid,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἄκρας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
προκεχυμένας,προκεχυμένας,προκεχυμένας,προκεχυμένας,νας,π,-20.0,VERB,v-prpefa-,Aspect=Perf|Case=Acc|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,nmod,0.0,ἄκρας,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Plur,Past,Part,Mid,Perf,,
ἄκρας,ἄκρας,ἄκρα,ἄκρας,ρας,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐκτρέπεται,"(νήσους, πέτρας)",False,x̓́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,ἄκρας,(),False,x̓̀,False,False,False,False,,,,,,,,,
νήσους,νήσους,νήσους,νήσους,ους,ν,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ἄκρας,"(ἄκρας, πέτρας)",False,xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,ἄκρας,(),False,x̓̀,False,False,False,False,,,,,,,,,
πέτρας,πέτρας,πέτρα,πέτρας,ρας,π,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ἄκρας,"(ἄκρας, νήσους)",False,xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐκτρέπεται,ἐκτρέπεται,ἐκτρέπω,ἐκτρέπεται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐκτρέπεται,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐκτρέπεται,(),False,·,False,True,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,σφριγᾷ,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,σφριγᾷ,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,σφριγᾷ,(),False,xx̀x,False,False,False,False,,,,,,,,,
εὐδίᾳ,εὐδίᾳ,εὐδίᾳ,εὐδίᾳ,́ᾳ,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,σφριγᾷ,"(γαλήνῃ,)",False,xx̓xx́xͅ,False,False,False,False,Nom,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,εὐδίᾳ,(),False,xxx̀,False,False,False,False,,,,,,,,,
γαλήνῃ,γαλήνῃ,γαλήνῃ,γαλήνῃ,νῃ,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,εὐδίᾳ,"(εὐδίᾳ,)",False,xxxx́xxͅ,False,False,False,False,Nom,Fem,Sing,,,,,,
σφριγᾷ,σφριγᾷ,σφριγᾷ,σφριγᾷ,ᾷ,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,σφριγᾷ,(),False,xxxx͂ͅ,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὰ,(),False,",",False,True,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,γαλήνῃ,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,σφριγᾷ,(),False,xx̀,False,False,False,False,,,,,,,,,
κλύδωνι,κλύδωνι,κλύδων,κλύδωνι,ωνι,κ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,dep,0.0,σφριγᾷ,"(κυματώσει,)",False,xxx́xxxx,False,False,False,False,Dat,Masc,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κλύδωνι,(),False,xxx̀,False,False,False,False,,,,,,,,,
κυματώσει,κυματώσει,κυματώσει,κυματώσει,σει,κ,-20.0,NOUN,Nb,Case=Dat|Gender=Fem|Number=Sing,conj,0.0,κλύδωνι,"(κλύδωνι,)",False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,σφριγᾷ,(),False,·,False,True,False,False,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,πληγαῖς,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,κραταιότερά,(),False,xx̀x,False,False,False,False,,,,,,,,,
συνεχέσι,συνεχέσι,συνεχέσι,συνεχέσι,́σι,σ,-20.0,ADJ,a-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,πληγαῖς,(),False,xxxx́xx,False,False,False,False,Dat,Fem,Plur,,,,,,
πληγαῖς,πληγαῖς,πληγαῖς,πληγαῖς,ῖς,π,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,γυμναζόμενα,(),False,xxxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
γυμναζόμενα,γυμναζόμενα,γυμναζόμενα,γυμναζόμενα,ενα,γ,-20.0,VERB,v-pppenn-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,κραταιότερά,"(ἀνωθοῦντα,)",False,xxxx́xxxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Mid,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γυμναζόμενα,(),False,xxx̀,False,False,False,False,,,,,,,,,
βίᾳ,βίᾳ,βίᾳ,βίᾳ,́ᾳ,β,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἀνωθοῦντα,(),False,xx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φορὰν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
φορὰν,φορὰν,φορὰν,φορὰν,ὰν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀνωθοῦντα,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀνωθοῦντα,ἀνωθοῦντα,ἀνωθοῦντα,ἀνωθοῦντα,ντα,α,-20.0,VERB,V-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,γυμναζόμενα,"(γυμναζόμενα,)",False,x̓xxxx͂xxx,False,False,False,False,Nom,Neut,Plur,Pres,Part,Act,,,
κραταιότερά,κραταιότερά,κραταιότερά,κραταιότερά,ρά,κ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,ROOT,0.0,κραταιότερά,"(πιαίνεται,)",False,xxxx́xxxx́,False,False,False,False,Nom,Neut,Plur,,,,,,
τέ,τέ,τέ,τέ,τέ,τ,-20.0,ADV,d--------,,advmod,0.0,κραταιότερά,(),False,xx́,False,False,False,False,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,κραταιότερά,(),False,x̓xxx,False,False,False,False,,,Sing,Pres,Fin,Act,,Ind,3
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κραταιότερά,(),False,xxx̀,False,False,False,False,,,,,,,,,
πιαίνεται,πιαίνεται,πιαίνω,πιαίνεται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,conj,0.0,κραταιότερά,"(κραταιότερά,)",False,xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3
μᾶλλον,μᾶλλον,μᾶλλον,μᾶλλον,λον,μ,-20.0,ADV,d--------,,advmod,0.0,πιαίνεται,(),False,xx͂xxxx,False,False,False,False,,,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κραταιότερά,(),False,.,False,True,False,False,,,,,,,,,
