orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
σοφιστικὸν,σοφιστικὸν,σοφιστικὸς,σοφιστικὸν,ὸν,σ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ποιητικὸν,"(ποιητικὸν,)",False,xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Neut
χαίρει,χαίρει,χαίρω,χαίρει,ρει,χ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,πλάσματα,"(δείγματα,)",False,xxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
γένος,γένος,γένος,γένος,νος,γ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,χαίρει,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ,(),False,",",False,True,False,False,,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,χαίρει,(),False,x̓xxx̀,False,False,False,False,,,,,,,,
δείγματα,δείγματα,δείγματον,δείγματα,ατα,δ,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,χαίρει,"(χαίρει,)",False,xxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut
τύπων,τύπων,τύπος,τύπων,πων,τ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,δείγματα,(),False,xx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,nmod,0.0,πλάσματα,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,
ἀλληγορίαν,ἀλληγορίαν,ἀλληγορία,ἀλληγορίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρακαλοῦντα,(),False,x̓xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Fem
παρακαλοῦντα,παρακαλοῦντα,παρακαλοῦντα,παρακαλοῦντα,ντα,π,-20.0,VERB,V-,Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,πλάσματα,(),False,xxxx͂xxx,False,False,False,False,,Plur,,Pres,Part,Act,Nom,Neut
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἀποδόσεις,(),False,xxxx̀,False,False,False,False,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἀποδόσεις,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ὑπονοιῶν,(),False,xxx̀,False,False,False,False,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ὑπονοιῶν,(),False,’,False,True,False,False,,,,,,,,
ὑπονοιῶν,ὑπονοιῶν,ὑπονοιῶν,ὑπονοιῶν,ῶν,υ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἀποδόσεις,(),False,x̔xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem
ἀποδόσεις,ἀποδόσεις,ἀποδόσεις,ἀποδόσεις,εις,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,παρακαλοῦντα,(),False,x̓xxxx́xxxx,False,False,False,False,,Plur,,,,,Acc,Fem
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,πλάσματα,(),False,.,False,True,False,False,,,,,,,,
