orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,συμφωνιῶν,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπογεννᾶται,(),False,",",False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,x̓x,False,False,False,False,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,ἀπογεννᾶται,(),False,x̔͂x,False,False,False,False,,Plur,,,,,Gen,Masc,
σύστημα,σύστημα,σύστημα,σύστημα,ημα,σ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἀπογεννᾶται,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,τελειότατον,(),False,xx̀,False,False,False,False,,Sing,,,,,Nom,Neut,
τελειότατον,τελειότατον,τελειός,τελειότατον,τον,τ,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,nmod,0.0,σύστημα,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut,Sup
ἀπογεννᾶται,ἀπογεννᾶται,ἀπογεννᾶται,ἀπογεννᾶται,ται,α,-20.0,VERB,v3sasm---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,acl,0.0,λόγους,(),False,x̓xxxx͂xxx,False,False,False,False,Sub,Sing,3,Past,Fin,Mid,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,περιέχει,(),False,·,False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,λόγος,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπίτριτος,(),False,xx̀x,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
τεττάρων,τεττάρων,τεσσάρων,τεττάρων,ρων,τ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,λόγος,(),False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,λόγος,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐπίτριτος,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc,
ἐπίτριτος,ἐπίτριτος,ἐπίτριτος,ἐπίτριτος,τος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,ἐπίτριτος,"(ἡμιόλιος, τετραπλάσιος, διπλάσιος)",False,x̓xx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τῆς,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἡμιόλιος,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐπίτριτος,(),False,xx̀,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πέντε,(),False,xxx̀,False,False,False,False,,,,,,,,,
πέντε,πέντε,πέντε,πέντε,ντε,π,-20.0,NUM,a--------,,obl,0.0,ἡμιόλιος,(),False,xx́xxx,False,False,False,False,,,,,,,,,
ἡμιόλιος,ἡμιόλιος,ἡμιόλιος,ἡμιόλιος,ιος,η,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἐπίτριτος,"(ἐπίτριτος, τετραπλάσιος, διπλάσιος)",False,x̔xxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διπλάσιος,(),False,",",False,True,False,False,,,,,,,,,
διπλάσιος,διπλάσιος,διπλάσιος,διπλάσιος,ιος,δ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἡμιόλιος,"(ἐπίτριτος, ἡμιόλιος, τετραπλάσιος)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐπίτριτος,(),False,xx̀,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,πασῶν,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,dep,0.0,ἐπίτριτος,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τετραπλάσιος,(),False,",",False,True,False,False,,,,,,,,,
τετραπλάσιος,τετραπλάσιος,τετραπλάσιος,τετραπλάσιος,ιος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἐπίτριτος,"(ἐπίτριτος, ἡμιόλιος, διπλάσιος)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἐπίτριτος,(),False,xx̀,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,δὶς,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
δὶς,δὶς,δὶς,δὶς,ὶς,δ,-20.0,ADV,d--------,,dep,0.0,ἐπίτριτος,(),False,xx̀x,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,πέντε,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐπίτριτος,(),False,·,False,True,False,False,,,,,,,,,
οὓς,οὓς,οὓς,οὓς,̔̀ς,ο,-20.0,PRON,p-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἔχει,(),False,xx̔̀x,False,False,False,False,,Plur,,,,,Acc,Masc,
ἅπαντας,ἅπαντας,ἅπας,ἅπαντας,τας,α,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,nmod,0.0,οὓς,(),False,x̔́xxxx,False,False,False,False,,Plur,,,,,Acc,Masc,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,τετρὰς,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Fem,
τετρὰς,τετρὰς,τετρὰς,τετρὰς,ὰς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔχει,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Fem,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔχει,"(ἡμιόλιον, διπλάσιον, τετραπλάσιον)",False,x̓́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
περιλαβοῦσα,περιλαβοῦσα,περιλαβοῦσα,περιλαβοῦσα,͂σα,π,-20.0,VERB,v-sapafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἔχει,(),False,xxxx͂xx,False,False,False,False,,Sing,,Past,Part,Act,Nom,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,",",False,True,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἐπίτριτον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπίτριτον,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐπίτριτον,ἐπίτριτον,ἐπίτριτος,ἐπίτριτον,τον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,appos,0.0,τετρὰς,(),False,x̓xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,τέσσαρα,(),False,x̓x,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,τέσσαρα,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
τέσσαρα,τέσσαρα,τέσσαρης,τέσσαρα,αρα,τ,-20.0,ADJ,a--------,,obl,0.0,ἐπίτριτον,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,τρία,(),False,xxx̀x,False,False,False,False,,,,,,,,,
τρία,τρία,τρίας,τρία,ία,τ,-20.0,NUM,n-s---fv-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,τέσσαρα,(),False,xxx́x,False,False,False,False,,Plur,,,,,Acc,Neut,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸν,(),False,",",False,True,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἡμιόλιον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,dep,0.0,ἔχει,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἡμιόλιον,(),False,’,False,True,False,False,,,,,,,,,
ἡμιόλιον,ἡμιόλιον,ἡμιόλιος,ἡμιόλιον,ιον,η,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἔχει,"(ἔχει, διπλάσιον, τετραπλάσιον)",False,x̔xxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,τρία,(),False,x̓x,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,τρία,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
τρία,τρία,τρία,τρία,ία,τ,-20.0,NUM,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,ἔχει,(),False,xxx́x,False,False,False,False,,Plur,,,,,Acc,Neut,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,δύο,(),False,xxx̀x,False,False,False,False,,,,,,,,,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,a--------,,nmod,0.0,τρία,(),False,xx́x,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δὲ,(),False,",",False,True,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,δὲ,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔχει,(),False,xx̀,False,False,False,False,,,,,,,,,
διπλάσιον,διπλάσιον,διπλάσιος,διπλάσιον,ιον,δ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἔχει,"(ἔχει, ἡμιόλιον, τετραπλάσιον)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,δύο,(),False,x̓x,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,δύο,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,a--------,,obl,0.0,ἔχει,"(τέσσαρα,)",False,xx́x,False,False,False,False,,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἓν,(),False,xxx̀x,False,False,False,False,,,,,,,,,
ἓν,ἓν,ἓνς,ἓν,̔̀ν,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,δύο,(),False,x̔̀x,False,False,False,False,,Sing,,,,,Acc,Neut,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,CCONJ,c--------,,cc,0.0,δύο,(),False,x̔,False,False,False,False,,,,,,,,,
τέσσαρα,τέσσαρα,τέσσαρης,τέσσαρα,αρα,τ,-20.0,NOUN,n-d---fn-,Case=Acc|Gender=Neut|Number=Plur,conj,0.0,δύο,"(δύο,)",False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Neut,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,δύο,(),False,xxx̀x,False,False,False,False,,,,,,,,,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,m--------,,nmod,0.0,τέσσαρα,(),False,xx́x,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τετραπλάσιον,(),False,",",False,True,False,False,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,δὲ,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τετραπλάσιον,(),False,xx̀,False,False,False,False,,,,,,,,,
τετραπλάσιον,τετραπλάσιον,τετραπλάσιος,τετραπλάσιον,ιον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἔχει,"(ἔχει, ἡμιόλιον, διπλάσιον)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Masc,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,R-,,case,0.0,τέσσαρα,(),False,x̓x,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,τέσσαρα,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc,
τέσσαρα,τέσσαρα,τέσσαρες,τέσσαρα,αρα,τ,-20.0,NUM,x--------,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,ἔχει,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Neut,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἕν,(),False,xxx̀x,False,False,False,False,,,,,,,,,
ἕν,ἕν,ἕν,ἕν,̔́ν,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,τέσσαρα,(),False,x̔́x,False,False,False,False,,Sing,,,,,Acc,Neut,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,.,False,True,False,False,,,,,,,,,
