orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
ἴδιον,ἴδιον,ἴδιος,ἴδιον,ιον,ι,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,κριτήριον,(),False,x̓́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δικάσει,(),False,",",False,True,False,False,,,,,,,,
ᾧ,ᾧ,ᾧ,ᾧ,̔͂ͅ,ω,-20.0,PRON,p-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,δικάσει,(),False,x̔͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,
δικάσει,δικάσει,δικάζω,δικάσει,σει,δ,-20.0,VERB,v3sfia---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act,acl,0.0,κριτήριον,(),False,xxxx́xxx,False,False,False,False,,,Sing,Fut,Fin,Act,Ind,3
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ὑποπίπτοντα,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,
ὑποπίπτοντα,ὑποπίπτοντα,ὑποπίπτω,ὑποπίπτοντα,ντα,υ,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,δικάσει,(),False,x̔xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,Pres,Part,Act,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,προσένειμεν,(),False,·,False,True,False,False,,,,,,,,
χρώματα,χρώματα,χρώματον,χρώματα,ατα,χ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,ὅρασις,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ὅρασις,(),False,xx̀x,False,False,False,False,,,,,,,,
[,[,[,[,[,[,-20.0,ADV,d--------,,advmod,0.0,ὅρασις,(),False,[,False,True,False,False,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ὅρασις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,
],],],],],],-20.0,ADV,d--------,,advmod,0.0,ἡ,(),False,],False,True,False,False,,,,,,,,
ὅρασις,ὅρασις,ὅρασις,ὅρασις,σις,ο,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ὅρασις,"(ἀκοή, γεῦσις, ὄσφρησις, ἁφή.)",False,x̔́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φωνὰς,(),False,",",False,True,False,False,,,,,,,,
φωνὰς,φωνὰς,φωνὰς,φωνὰς,ὰς,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἀκοή,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ὅρασις,(),False,xx̀,False,False,False,False,,,,,,,,
ἀκοή,ἀκοή,ἀκοή,ἀκοή,οή,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ὅρασις,"(ὅρασις, γεῦσις, ὄσφρησις, ἁφή.)",False,x̓xxx́,False,False,False,False,Nom,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,χυλοὺς,(),False,",",False,True,False,False,,,,,,,,
χυλοὺς,χυλοὺς,χυλοὺς,χυλοὺς,ὺς,χ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,ἀκοή,(),False,xxxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,PART,g--------,,advmod,0.0,ὅρασις,(),False,xx̀,False,False,False,False,,,,,,,,
γεῦσις,γεῦσις,γεῦσις,γεῦσις,σις,γ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ὅρασις,"(ὅρασις, ἀκοή, ὄσφρησις, ἁφή.)",False,xxx͂xxx,False,False,False,False,Nom,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καὶ,(),False,",",False,True,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ὅρασις,(),False,xxx̀,False,False,False,False,,,,,,,,
ὄσφρησις,ὄσφρησις,ὄσφρησις,ὄσφρησις,σις,ο,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ὅρασις,"(ὅρασις, ἀκοή, γεῦσις, ἁφή.)",False,x̓́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,
ἀτμούς,ἀτμούς,ἀτμούς,ἀτμούς,ύς,α,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,nmod,0.0,ἀκοή,(),False,x̓xxxx́x,False,False,False,False,Acc,Masc,Plur,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μαλακότητας,(),False,",",False,True,False,False,,,,,,,,
μαλακότητας,μαλακότητας,μαλακότητας,μαλακότητας,τας,μ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἀκοή,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,PART,g--------,,advmod,0.0,ὅρασις,(),False,xx̀,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,σκληρότητας,(),False,xxx̀,False,False,False,False,,,,,,,,
σκληρότητας,σκληρότητας,σκληρότητη,σκληρότητας,τας,σ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἀκοή,(),False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,dep,0.0,ὅρασις,(),False,xxx̀,False,False,False,False,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,θερμὰ,(),False,x̔́xx,False,False,False,False,Nom,Neut,Plur,,,,,
θερμὰ,θερμὰ,θερμὰ,θερμὰ,μὰ,θ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,amod,0.0,ἁφή.,"(ψυχρὰ, λειότητάς, τραχύτητας)",False,xxxx̀,False,False,False,False,Nom,Neut,Plur,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,θερμὰ,(),False,x̓̀,False,False,False,False,,,,,,,,
ψυχρὰ,ψυχρὰ,ψυχρὰ,ψυχρὰ,ρὰ,ψ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,conj,0.0,θερμὰ,"(θερμὰ, λειότητάς, τραχύτητας)",False,xxxx̀,False,False,False,False,Acc,Neut,Plur,,,,,
λειότητάς,λειότητάς,λειότητάς,λειότητάς,άς,λ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,θερμὰ,"(θερμὰ, ψυχρὰ, τραχύτητας)",False,xxxx́xxxx́x,False,False,False,False,Acc,Fem,Plur,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,λειότητάς,(),True,xx,True,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λειότητάς,(),False,xxx̀,False,False,False,False,,,,,,,,
τραχύτητας,τραχύτητας,τραχύτης,τραχύτητας,τας,τ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,λειότητάς,"(θερμὰ, ψυχρὰ, λειότητάς)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἁφή.,ἁφή.,ἁφή.,ἁφή.,ή.,α,-20.0,PUNCT,u--------,,conj,0.0,ὅρασις,"(ὅρασις, ἀκοή, γεῦσις, ὄσφρησις)",False,x̔xx́.,False,False,False,False,,,,,,,,
