orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree,Aspect
ἀθανάτου,ἀθανάτου,ἀθανάτου,ἀθανάτου,του,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,θνητῆς,"(θνητῆς,)",False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
φύσεως,φύσεως,φύσις,φύσεως,εως,φ,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,μεθόριον,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,μεθόριον,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,,
μεθόριον,μεθόριον,μεθόριος,μεθόριον,ιον,μ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,ccomp,0.0,εἴποι,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἑκατέρας,ἑκατέρας,ἑκατέρος,ἑκατέρας,ρας,ε,-20.0,ADJ,A-,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,nmod,0.0,μεθόριον,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,Pos,
ὅσον,ὅσον,ὅσος,ὅσον,σον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἀναγκαῖόν,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἀναγκαῖόν,ἀναγκαῖόν,ἀναγκαῖός,ἀναγκαῖόν,όν,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,μεθόριον,"(θνητὸν, ἀθάνατον)",False,x̓xxxx͂x́x,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἀναγκαῖόν,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,
μετέχοντα,μετέχοντα,μετέχω,μετέχοντα,ντα,μ,-20.0,VERB,V-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,dep,0.0,ἀναγκαῖόν,"(γεγενῆσθαι,)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,Pres,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,μετέχοντα,(),False,xxx̀,False,False,False,False,,,,,,,,,,
γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,γεγενῆσθαι,θαι,γ,-20.0,VERB,v--rne---,Aspect=Perf|Tense=Past|VerbForm=Inf|Voice=Mid,conj,0.0,μετέχοντα,"(μετέχοντα,)",False,xxxx͂xxxx,False,False,False,False,,,,,,Past,Inf,Mid,,Perf
θνητὸν,θνητὸν,θνητὸς,θνητὸν,ὸν,θ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,γεγενῆσθαι,"(ἀθάνατον,)",False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,θνητὸν,(),False,x̔xxx͂,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,θνητὸν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀθάνατον,ἀθάνατον,ἀθάνατος,ἀθάνατον,τον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,θνητὸν,"(θνητὸν,)",False,x̓xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,θνητὸν,(),False,",",False,True,False,False,,,,,,,,,,
θνητὸν,θνητὸν,θνητὸς,θνητὸν,ὸν,θ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἀναγκαῖόν,"(ἀναγκαῖόν, ἀθάνατον)",False,xxxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,θνητὸν,(),False,xx̀x,False,False,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,σῶμα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,σῶμα,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,θνητὸν,(),False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κατὰ,(),False,",",False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,σῶμα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,θνητὸν,(),False,xx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,διάνοιαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
διάνοιαν,διάνοιαν,διάνοια,διάνοιαν,ιαν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀθάνατον,(),False,xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀθάνατον,ἀθάνατον,ἀθάνατος,ἀθάνατον,τον,α,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,θνητὸν,"(ἀναγκαῖόν, θνητὸν)",False,x̓xx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,εἴποι,(),False,.,False,True,False,False,,,,,,,,,,
