orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,dep,0.0,ἐπιδείκνυται,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Fem
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,δύναμιν,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παρίσταται,(),False,",",False,True,False,False,,,,,,,,
ὅπερ,ὅπερ,οσ̔́περ,ὅπερ,περ,ο,-20.0,PRON,p-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,παρίσταται,(),False,x̔́xxx,False,False,False,False,,Sing,,,,,Nom,Neut
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,θεωρίᾳ,(),False,x̓x,False,False,False,False,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,θεωρίᾳ,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Fem
κανονικῇ,κανονικῇ,κανονικῇ,κανονικῇ,ῇ,κ,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,θεωρίᾳ,(),False,xxxx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Fem
θεωρίᾳ,θεωρίᾳ,θεωρίᾳ,θεωρίᾳ,́ᾳ,θ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,παρίσταται,(),False,xxxx́xͅ,False,False,False,False,,Sing,,,,,Dat,Fem
σαφέστατα,σαφέστατα,σαφέστατα,σαφέστατα,ατα,σ,-20.0,ADV,d-------s,,advmod,0.0,παρίσταται,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,
παρίσταται,παρίσταται,παρίστημι,παρίσταται,ται,π,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,πέντε,(),False,xxxx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐπιδείκνυται,(),False,·,False,True,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,τρία,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀποτελεῖ,(),False,xx̀,False,False,False,False,,,,,,,,
τέσσαρα,τέσσαρα,τέσσαρος,τέσσαρα,αρα,τ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,τρία,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,τρία,(),False,xxx̀x,False,False,False,False,,,,,,,,
τρία,τρία,τρίος,τρία,ία,τ,-20.0,NUM,m-p---nn-,Case=Acc|Gender=Neut|Number=Plur,nsubj,0.0,ἀποτελεῖ,(),False,xxx́x,False,False,False,False,,Plur,,,,,Acc,Neut
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἁρμονίαν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem
πρώτην,πρώτην,πρώτην,πρώτην,την,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἁρμονίαν,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Acc,Fem
ἁρμονίαν,ἁρμονίαν,ἁρμονία,ἁρμονίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nsubj,0.0,ἀποτελεῖ,(),False,x̔xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Fem
ἀποτελεῖ,ἀποτελεῖ,ἀποτελεῖ,ἀποτελεῖ,εῖ,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀποτελεῖ,(),False,x̓xxxx͂,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐπίτριτον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem
ἐπίτριτον,ἐπίτριτον,ἐπίτριτος,ἐπίτριτον,τον,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀποτελεῖ,(),False,x̓xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τεσσάρων,(),False,",",False,True,False,False,,,,,,,,
ἥτις,ἥτις,ἥτις,ἥτις,τις,η,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,τεσσάρων,(),False,x̔́xxx,False,False,False,False,,Sing,,,,,Nom,Fem
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τεσσάρων,(),False,x̓xxx̀,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τεσσάρων,(),False,xxx̀,False,False,False,False,,,,,,,,
τεσσάρων,τεσσάρων,τεσσάρων,τεσσάρων,ρων,τ,-20.0,NUM,Ma,Case=Gen|Gender=Masc|Number=Plur,acl,0.0,τρία,(),False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀποτελεῖ,(),False,.,False,True,False,False,,,,,,,,
