orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,dep,0.0,λαχνώσιος,(),False,x̔xxx́,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λαχνώσιος,(),False,·,False,True,False,False,,,,,,,,
νεανίσκος,νεανίσκος,νεανίσκος,νεανίσκος,κος,ν,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,αὐξήσιος,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,αὐξήσιος,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,αὐξήσιος,(),False,’,False,True,False,False,,,,,,,,
ἄχρις,ἄχρις,ἄχρι,ἄχρις,ρις,α,-20.0,ADP,r--------,,case,0.0,αὐξήσιος,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
αὐξήσιος,αὐξήσιος,αὐξήσιος,αὐξήσιος,ιος,α,-20.0,NOUN,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,αὐξήσιος,(),False,xx̓xx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc
ὅλου,ὅλου,ὅλος,ὅλου,λου,ο,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,σώματος,(),False,x̔́xxx,False,False,False,False,,Sing,,,,,Gen,Neut
τοὺ,τοὺ,τοὺ,τοὺ,οὺ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,σώματος,(),False,xxx̀,False,False,False,False,,Sing,,,,,Gen,Neut
σώματος,σώματος,σώματος,σώματος,τος,σ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,αὐξήσιος,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,αὐξήσιος,(),False,",",False,True,False,False,,,,,,,,
ἐς,ἐς,ἐς,ἐς,ἐς,ε,-20.0,ADP,r--------,,case,0.0,τετράκις,(),False,x̓x,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,τετράκις,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
τετράκις,τετράκις,τετράκις,τετράκις,κις,τ,-20.0,ADV,d--------,,obl,0.0,αὐξήσιος,(),False,xxxx́xxx,False,False,False,False,,,,,,,,
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,cop,0.0,αὐξήσιος,(),False,x̔xxx́,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,αὐξήσιος,(),False,·,False,True,False,False,,,,,,,,
ἀνὴρ,ἀνὴρ,ἀνὴρ,ἀνὴρ,ὴρ,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἑπτά,(),False,x̓xx̀x,False,False,False,False,,Sing,,,,,Nom,Masc
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),False,’,False,True,False,False,,,,,,,,
ἄχρις,ἄχρις,ἄχρι,ἄχρις,ρις,α,-20.0,ADP,r--------,,case,0.0,δέοντος,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
ἑνὸς,ἑνὸς,ἑνὸς,ἑνὸς,ὸς,ε,-20.0,ADJ,Ma,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,δέοντος,(),False,x̔xx̀x,False,False,False,False,,Sing,,,,,Gen,Neut
δέοντος,δέοντος,δέω,δέοντος,τος,δ,-20.0,VERB,v-sppang-,Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἑπτά,(),False,xx́xxxx,False,False,False,False,,Sing,,Pres,Part,Act,Gen,Neut
ἐτέων,ἐτέων,ἐτέων,ἐτέων,́ων,ε,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,δέοντος,(),False,x̓xx́xx,False,False,False,False,,Plur,,,,,Gen,Neut
πεντήκοντα,πεντήκοντα,πεντήκοντα,πεντήκοντα,ντα,π,-20.0,NUM,m--------,,nsubj,0.0,δέοντος,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δέοντος,(),False,",",False,True,False,False,,,,,,,,
ἐς,ἐς,ἐς,ἐς,ἐς,ε,-20.0,ADP,r--------,,case,0.0,ἑπτάκις,(),False,x̓x,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἑπτάκις,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
ἑπτάκις,ἑπτάκις,ἑπτάκις,ἑπτάκις,κις,ε,-20.0,ADV,d--------,,obl,0.0,ἑπτά,(),False,x̔xxx́xxx,False,False,False,False,,,,,,,,
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,ROOT,0.0,ἑπτά,(),False,x̔xxx́,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἑπτά,(),False,·,False,True,False,False,,,,,,,,
πρεσβύτης,πρεσβύτης,πρεσβύτης,πρεσβύτης,της,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,πρεσβύτης,(),False,xxxx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,fixed,0.0,πρεσβύτης,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,fixed,0.0,πρεσβύτης,(),False,’,False,True,False,False,,,,,,,,
ἄχρι,ἄχρι,ἄχρι,ἄχρι,χρι,α,-20.0,ADP,r--------,,case,0.0,πεντήκοντα,(),False,x̓́xxx,False,False,False,False,,,,,,,,
πεντήκοντα,πεντήκοντα,πεντήκοντα,πεντήκοντα,ντα,π,-20.0,NUM,m--------,,fixed,0.0,πρεσβύτης,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,
ἕκ,ἕκ,ἕκ,ἕκ,̔́κ,ε,-20.0,ADP,r--------,,case,0.0,πεντήκοντα,(),False,x̔́x,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἑπτάκις,(),False,",",False,True,False,False,,,,,,,,
ἐς,ἐς,ἐς,ἐς,ἐς,ε,-20.0,ADP,r--------,,case,0.0,ἑπτάκις,(),False,x̓x,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἑπτάκις,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
ἑπτάκις,ἑπτάκις,ἑπτάκις,ἑπτάκις,κις,ε,-20.0,ADV,d--------,,fixed,0.0,πεντήκοντα,(),False,x̔xxx́xxx,False,False,False,False,,,,,,,,
ὀκτώ,ὀκτώ,ὀκτώ,ὀκτώ,τώ,ο,-20.0,NUM,a--------,,amod,0.0,πεντήκοντα,(),False,x̓xxx́,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,πρεσβύτης,(),False,·,False,True,False,False,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,γέρων,(),False,xx̀,False,False,False,False,,Sing,,,,,Acc,Neut
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,γέρων,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,20,(),False,’,False,True,False,False,,,,,,,,
20,20,20,20,20,2,-20.0,NUM,d--------,,advmod,0.0,γέρων,(),False,dd,False,False,False,False,,,,,,,,
ἐντεῦθεν,ἐντεῦθεν,ἐντεῦθεν,ἐντεῦθεν,θεν,ε,-20.0,ADV,d--------,,advmod,0.0,20,(),False,x̓xxxx͂xxx,False,False,False,False,,,,,,,,
γέρων,γέρων,γέρων,γέρων,ρων,γ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,γέρων,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,γέρων,(),False,.,False,True,False,False,,,,,,,,
“,“,“,"""",“,“,-20.0,ADP,r--------,,ROOT,0.0,“,(),False,“,False,True,False,False,,,,,,,,
