orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Degree,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ποιεῖ,(),False,’,False,True,False,False,,,,,,,,,,
ἑξαπλάσιος,ἑξαπλάσιος,ἑξαπλάσιος,ἑξαπλάσιος,ιος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,λόγος,(),False,x̔xxxx́xxxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
λόγος,λόγος,λόγος,λόγος,γος,λ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ποιεῖ,(),False,xx́xxx,False,False,False,False,Nom,,Masc,Sing,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,μέγιστον,(),False,xx̀,False,False,False,False,Acc,,Neut,Sing,,,,,,
μέγιστον,μέγιστον,μέγας,μέγιστον,τον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,διάστημα,(),False,xx́xxxx,False,False,False,False,Acc,,Neut,Sing,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,οὖσι,(),False,x̓x,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,οὖσι,(),False,xxx͂x,False,False,False,False,Dat,,Neut,Plur,,,,,,
οὖσι,οὖσι,οὖσι,οὖσι,͂σι,ο,-20.0,AUX,v-pppand-,Case=Dat|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,μέγιστον,(),False,xx̓͂xx,False,False,False,False,Dat,,Neut,Plur,,,Pres,Part,Act,
ποιεῖ,ποιεῖ,ποιεῖ,ποιεῖ,εῖ,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἔχει,"(ἔχει,)",False,xxxx͂,False,False,False,False,,,,Sing,Ind,3,Pres,Fin,Act,
διάστημα,διάστημα,διάστημα,διάστημα,ημα,δ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ποιεῖ,(),False,xxx́xxxx,False,False,False,False,Acc,,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διέστηκε,(),False,",",False,True,False,False,,,,,,,,,,
ᾧ,ᾧ,ᾧ,ᾧ,̔͂ͅ,ω,-20.0,PRON,p-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,διέστηκε,(),False,x̔͂ͅ,False,False,False,False,Dat,,Neut,Sing,,,,,,
διέστηκε,διέστηκε,διέστηκε,διέστηκε,ηκε,δ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,διάστημα,(),False,xxx́xxxx,False,False,False,False,,,,Sing,Ind,3,Past,Fin,Act,Perf
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,ὀξύτατον,(),False,xx̀,False,False,False,False,Nom,,Neut,Sing,,,,,,
ὀξύτατον,ὀξύτατον,ὀξύς,ὀξύτατον,τον,ο,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,nsubj,0.0,διέστηκε,(),False,x̓xx́xxxx,False,False,False,False,Nom,Sup,Neut,Sing,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,βαρυτάτου,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,βαρυτάτου,(),False,xxx͂,False,False,False,False,Gen,,Neut,Sing,,,,,,
βαρυτάτου,βαρυτάτου,βαρυτάτου,βαρυτάτου,του,β,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,διέστηκε,(),False,xxxx́xxx,False,False,False,False,Gen,,Neut,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,.,False,True,False,False,,,,,,,,,,
