orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice
αὐτήν,αὐτήν,αὐτήν,αὐτήν,ήν,α,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παραφήναντος,(),False,xx̓xx́x,False,False,False,False,Acc,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐδείχθη,(),False,·,False,True,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἓν,(),False,x̓x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἓν,(),False,xx̀x,False,False,False,False,,,,,,,,,
μιᾶς,μιᾶς,μιᾶς,μιᾶς,ᾶς,μ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἡμέρας,(),False,xxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἡμέρας,ἡμέρας,ἡμέρα,ἡμέρας,ρας,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἓν,(),False,x̔xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,ἓν,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
ἓν,ἓν,ἓν,ἓν,̔̀ν,ε,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,ἓν,"(δυοῖν, δύο, τριῶν, τρία, μηνὸς, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,x̔̀x,False,False,False,False,Nom,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἓν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,δυοῖν,(),False,x̓x,False,False,False,False,,,,,,,,,
δυοῖν,δυοῖν,δυοῖν,δυοῖν,ῖν,δ,-20.0,NUM,m--------,,conj,0.0,ἓν,"(ἓν, δύο, τριῶν, τρία, μηνὸς, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,xxxx͂x,False,False,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,δύο,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,m--------,,conj,0.0,ἓν,"(ἓν, δυοῖν, τριῶν, τρία, μηνὸς, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,xx́x,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἓν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,τριῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
τριῶν,τριῶν,τριῶν,τριῶν,ῶν,τ,-20.0,NUM,Ma,Case=Gen|Gender=Masc|Number=Plur,conj,0.0,ἓν,"(ἓν, δυοῖν, δύο, τρία, μηνὸς, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,τρία,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
τρία,τρία,τρίος,τρία,ία,τ,-20.0,NUM,m-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,ἓν,"(ἓν, δυοῖν, δύο, τριῶν, μηνὸς, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,xxx́x,False,False,False,False,Nom,Neut,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἓν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,μηνὸς,(),False,x̓x,False,False,False,False,,,,,,,,,
μηνὸς,μηνὸς,μηνὸς,μηνὸς,ὸς,μ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἓν,"(ἓν, δυοῖν, δύο, τριῶν, τρία, ἐνιαυτοῦ, ἀριθμός, τριάκοντα)",False,xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,τριάκοντα,(),False,xx̀,False,False,False,False,Nom,Neut,Plur,,,,,,
τριάκοντα,τριάκοντα,τριάκοντα,τριάκοντα,ντα,τ,-20.0,NUM,m--------,,conj,0.0,μηνὸς,"(ἓν, δυοῖν, δύο, τριῶν, τρία, μηνὸς, ἐνιαυτοῦ, ἀριθμός)",False,xxxx́xxxx,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,ἓν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἐνιαυτοῦ,(),False,x̓x,False,False,False,False,,,,,,,,,
ἐνιαυτοῦ,ἐνιαυτοῦ,ἐνιαυτοῦ,ἐνιαυτοῦ,οῦ,ε,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ἓν,"(ἓν, δυοῖν, δύο, τριῶν, τρία, μηνὸς, ἀριθμός, τριάκοντα)",False,x̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,πλῆθος,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
ἰσάριθμον,ἰσάριθμον,ἰσάριθμος,ἰσάριθμον,μον,ι,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,πλῆθος,(),False,x̓xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,ἡμέραις,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,μηνῶν,(),False,x̓x,False,False,False,False,,,,,,,,,
δώδεκα,δώδεκα,δώδεκα,δώδεκα,εκα,δ,-20.0,ADJ,a--------,,nmod,0.0,μηνῶν,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
μηνῶν,μηνῶν,μηνῶν,μηνῶν,ῶν,μ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἡμέραις,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ἡμέραις,ἡμέραις,ἡμέρα,ἡμέραις,αις,η,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,obl,0.0,ἰσάριθμον,(),False,x̔xx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,
πλῆθος,πλῆθος,πλῆθος,πλῆθος,θος,π,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἐνιαυτοῦ,(),False,xxx͂xxx,False,False,False,False,Nom,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἓν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,χρόνου,(),False,x̓x,False,False,False,False,,,,,,,,,
ἀπείρου,ἀπείρου,ἀπείρου,ἀπείρου,ρου,α,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,χρόνου,(),False,x̓xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
χρόνου,χρόνου,χρόνος,χρόνου,νου,χ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμός,(),False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἀριθμός,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
ἄπειρος,ἄπειρος,ἄπειρος,ἄπειρος,ρος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμός,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀριθμός,ἀριθμός,ἀριθμός,ἀριθμός,ός,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,ἓν,"(ἓν, δυοῖν, δύο, τριῶν, τρία, μηνὸς, ἐνιαυτοῦ, τριάκοντα)",False,x̓xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἓν,(),False,.,False,True,False,False,,,,,,,,,
