orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εὗρε,(),False,x̓́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διδασκαλίαν,(),False,",",False,True,False,False,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,διδασκαλίαν,(),False,xx̓x,False,False,False,False,,,,,,,,
διδασκαλίαν,διδασκαλίαν,διδασκαλία,διδασκαλίαν,́αν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,εὗρε,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,dep,0.0,διδασκαλίαν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
ἔπειτα,ἔπειτα,ἔπειτα,ἔπειτα,ιτα,ε,-20.0,ADV,d--------,,dep,0.0,διδασκαλίαν,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διδασκαλίαν,(),False,",",False,True,False,False,,,,,,,,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,βοώσης,(),False,xx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,βοώσης,(),False,xx̓,False,False,False,False,,,,,,,,
ἄντικρυς,ἄντικρυς,ἄντικρυς,ἄντικρυς,ρυς,α,-20.0,ADV,d--------,,advmod,0.0,βοώσης,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
βοώσης,βοώσης,βοώσης,βοώσης,σης,β,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,διδασκαλίαν,(),False,xxx́xxx,False,False,False,False,Gen,Fem,Sing,Pres,Part,Act,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,φύσεως,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,
φύσεως,φύσεως,φύσις,φύσεως,εως,φ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,βοώσης,(),False,xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὅτι,(),False,",",False,True,False,False,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,c--------,,mark,0.0,διάξουσιν,(),False,x̔́xx,False,False,False,False,,,,,,,,
μιμούμενοι,μιμούμενοι,μιμούμενοι,μιμούμενοι,νοι,μ,-20.0,VERB,v-pppemn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,διάξουσιν,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Mid,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἀρχηγέτην,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
ἀρχηγέτην,ἀρχηγέτην,ἀρχηγέτην,ἀρχηγέτην,την,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,μιμούμενοι,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,γένους,(),False,xxx͂,False,False,False,False,Gen,Neut,Sing,,,,,
γένους,γένους,γένος,γένους,ους,γ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ἀρχηγέτην,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,
ἀπόνως,ἀπόνως,ἀπόνως,ἀπόνως,νως,α,-20.0,ADV,d--------,,advmod,0.0,διάξουσιν,"(ἀταλαιπώρως,)",False,x̓xx́xxx,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀπόνως,(),False,xxx̀,False,False,False,False,,,,,,,,
ἀταλαιπώρως,ἀταλαιπώρως,ἀταλαιπώρως,ἀταλαιπώρως,ρως,α,-20.0,ADV,d--------,,conj,0.0,ἀπόνως,"(ἀπόνως,)",False,x̓xxxx́xxx,False,False,False,False,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,εὐπορίᾳ,(),False,x̓x,False,False,False,False,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἀναγκαίων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,
ἀναγκαίων,ἀναγκαίων,ἀναγκαίος,ἀναγκαίων,́ων,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,εὐπορίᾳ,(),False,x̓xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,
εὐπορίᾳ,εὐπορίᾳ,εὐπορίᾳ,εὐπορίᾳ,́ᾳ,ε,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,διάξουσιν,(),False,xx̓xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,
διάξουσιν,διάξουσιν,διάκνυμι,διάξουσιν,σιν,δ,-20.0,VERB,v3pasa---,Mood=Sub|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,εὗρε,(),False,xxx́xxxx,False,False,False,False,,,Plur,Past,Fin,Act,Sub,3
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,εὗρε,(),False,.,False,True,False,False,,,,,,,,
