orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,κύβος,(),False,x̓xxx,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,περιέχων,(),False,",",False,True,False,False,,,,,,,,,
ἀμφότερα,ἀμφότερα,ἀμφότεροι,ἀμφότερα,ερα,α,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nmod,0.0,εἴδη,(),False,x̓xxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,εἴδη,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
εἴδη,εἴδη,εἴδος,εἴδη,́δη,ε,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,περιέχων,(),False,xx̓́xx,False,False,False,False,Acc,Neut,Plur,,,,,,
περιέχων,περιέχων,περιέχω,περιέχων,χων,π,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,κύβος,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Act
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,οὐσίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἀσωμάτου,(),True,xx,True,False,False,False,,,,,,,,,
ἀσωμάτου,ἀσωμάτου,ἀσωμάτου,ἀσωμάτου,του,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσίας,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀσωμάτου,(),False,xxx̀,False,False,False,False,,,,,,,,,
σωματικῆς,σωματικῆς,σωματικῆς,σωματικῆς,ῆς,σ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,οὐσίας,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
οὐσίας,οὐσίας,οὐσία,οὐσίας,́ας,ο,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,περιέχων,(),False,xx̓xx́xx,False,False,False,False,Gen,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀποτελοῦσι,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀποτελοῦσι,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀποτελοῦσι,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἀσωμάτου,ἀσωμάτου,ἀσωμάτου,ἀσωμάτου,του,α,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἣν,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἐπίπεδον,(),False,xxxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐπίπεδον,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐπίπεδον,ἐπίπεδον,ἐπίπεδος,ἐπίπεδον,δον,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἀσωμάτου,(),False,x̓xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀποτελοῦσι,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀποτελοῦσι,ἀποτελοῦσι,ἀποτελοῦσι,ἀποτελοῦσι,͂σι,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,οὐσίας,(),False,x̓xxxx͂xx,False,False,False,False,,,Plur,,Ind,3,Pres,Fin,Act
τετράγωνοι,τετράγωνοι,τετράγωνος,τετράγωνοι,νοι,τ,-20.0,ADJ,a-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἀποτελοῦσι,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τῆς,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,dep,0.0,ἀποτελοῦσι,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀποτελοῦσι,(),False,xx̀,False,False,False,False,,,,,,,,,
σωματικῆς,σωματικῆς,σωματικῆς,σωματικῆς,ῆς,σ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,κύβος,(),False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,στερεὰν,(),False,xxxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,στερεὰν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
στερεὰν,στερεὰν,στερεὰν,στερεὰν,ὰν,σ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,κύβος,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἣν,ἣν,ἣν,ἣν,̔̀ν,η,-20.0,PRON,p-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀποτελοῦσι,(),False,x̔̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀποτελοῦσι,ἀποτελοῦσι,ἀποτελοῦσι,ἀποτελοῦσι,͂σι,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,στερεὰν,(),False,x̓xxxx͂xx,False,False,False,False,,,Plur,,Ind,3,Pres,Fin,Act
κύβοι,κύβοι,κύβος,κύβοι,βοι,κ,-20.0,NOUN,n-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,ἀποτελοῦσι,(),False,xx́xxx,False,False,False,False,Nom,Masc,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κύβος,(),False,.,False,True,False,False,,,,,,,,,
