orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀναγκαιότατον,(),False,xxx̀,False,False,False,False,,,,,,,,,
συνεκτικώτατον,συνεκτικώτατον,συνεκτικώς,συνεκτικώτατον,τον,σ,-20.0,ADJ,a-s---nas,Case=Acc|Degree=Sup|Gender=Neut|Number=Sing,conj,0.0,ἀναγκαιότατον,"(ἀναγκαιότατον,)",False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut,Sup
τέλος,τέλος,τέλος,τέλος,λος,τ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,συνεκτικώτατον,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,
ἡδονὴν,ἡδονὴν,ἡδονὴ,ἡδονὴν,ὴν,η,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,συνεκτικώτατον,(),False,x̔xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἄνθρωπος,(),False,xxx̀,False,False,False,False,,,,,,,,,
μάλιστα,μάλιστα,μάλιστα,μάλιστα,στα,μ,-20.0,ADV,d--------,,advmod,0.0,ἄνθρωπος,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,σπεύδει,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,σπεύδει,(),False,·,False,True,False,False,,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἐφίεται,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐφίεται,(),False,xx̀x,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἐφίεται,(),False,xx̀x,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,γεύσεως,(),False,xxx̀,False,False,False,False,,,,,,,,,
γεύσεως,γεύσεως,γεύσεως,γεύσεως,εως,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἐφίεται,"(γεννητικῶν,)",False,xxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Fem,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,γεύσεως,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,γεύσεως,(),False,xxx̀,False,False,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,γεννητικῶν,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Neut,
γεννητικῶν,γεννητικῶν,γεννητικῶν,γεννητικῶν,ῶν,γ,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,γεύσεως,"(γεύσεως,)",False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Neut,
ἐφίεται,ἐφίεται,ἐφίημι,ἐφίεται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐφίεται,(),False,x̓xx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,
ταύτης,ταύτης,ταύτης,ταύτης,της,τ,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,iobj,0.0,ἐφίεται,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὁ,(),False,",",False,True,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,θεάματα,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἐφίεται,(),False,xx̀,False,False,False,False,,,,,,,,,
ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,ἄνθρωπος,πος,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,γεννητικῶν,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,αἰσθήσεων,(),False,xxx̀,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,αἰσθήσεων,(),False,xxx̀,False,False,False,False,,,,,,,,,
τῶν,τῶν,τῶς,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,αἰσθήσεων,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,αἰσθήσεων,(),False,x̓́xxxx,False,False,False,False,,Plur,,,,,Gen,Fem,
αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,αἰσθήσεων,εων,α,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,obl,0.0,ἐφίεται,(),False,xx̓xxx́xxxx,False,False,False,False,,Plur,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δύναται,(),False,",",False,True,False,False,,,,,,,,,
ὅσα,ὅσα,ὅσος,ὅσα,́σα,ο,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nmod,0.0,θεάματα,(),False,x̔́xx,False,False,False,False,,Plur,,,,,Nom,Neut,
θεάματα,θεάματα,θεάμα,θεάματα,ατα,θ,-20.0,NOUN,Nb,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,δύναται,"(ἀκούσματα,)",False,xxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,θεάματα,(),False,x̓̀,False,False,False,False,,,,,,,,,
ἀκούσματα,ἀκούσματα,ἀκούσμα,ἀκούσματα,ατα,α,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,conj,0.0,θεάματα,"(θεάματα,)",False,x̓xxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,
τέρψιν,τέρψιν,τέρψις,τέρψιν,ψιν,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρασχεῖν,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,
δύναται,δύναται,δύναμαι,δύναται,ται,δ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,αἰσθήσεων,(),False,xx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,,
παρασχεῖν,παρασχεῖν,παρασχεῖν,παρασχεῖν,ῖν,π,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,xcomp,0.0,δύναται,(),False,xxxx͂x,False,False,False,False,,,,Past,Inf,Act,,,
ὠσὶ,ὠσὶ,ὠσὶ,ὠσὶ,σὶ,ω,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,παρασχεῖν,(),False,x̓xx̀,False,False,False,False,,Plur,,,,,Dat,Neut,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,δύναται,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὀφθαλμοῖς,ὀφθαλμοῖς,ὀφθαλμοῖς,ὀφθαλμοῖς,ῖς,ο,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,μεταδιώκων,(),False,x̓xxxx͂x,False,False,False,False,,Plur,,,,,Dat,Masc,
μεταδιώκων,μεταδιώκων,μεταδιώκω,μεταδιώκων,κων,μ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,δύναται,(),False,xxxx́xxx,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐφίεται,(),False,.,False,True,False,False,,,,,,,,,
