orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
ἡλίῳ,ἡλίῳ,ἡλίῳ,ἡλίῳ,́ῳ,η,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,iobj,0.0,ἀνεδίδου,(),False,x̔xx́xͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οἷα,(),False,",",False,True,False,False,,,,,,,,,
οἷα,οἷα,οἷα,οἷα,̔͂α,ο,-20.0,ADV,d--------,,advmod,0.0,σελήνῃ,"(βασιλεῖ, νυκτὸς)",False,xx̔͂x,False,False,False,False,,,,,,,,,
μεγάλῳ,μεγάλῳ,μεγάλῳ,μεγάλῳ,λῳ,μ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,βασιλεῖ,(),False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
βασιλεῖ,βασιλεῖ,βασιλεῖ,βασιλεῖ,εῖ,β,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,οἷα,"(οἷα, νυκτὸς)",False,xxxx͂,False,False,False,False,Dat,Masc,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δὲ,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,δὲ,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,οἷα,(),False,xx̀,False,False,False,False,,,,,,,,,
νυκτὸς,νυκτὸς,νυκτὸς,νυκτὸς,ὸς,ν,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,οἷα,"(οἷα, βασιλεῖ)",False,xxxx̀x,False,False,False,False,Gen,Fem,Sing,,,,,,
σελήνῃ,σελήνῃ,σελήνῃ,σελήνῃ,νῃ,σ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,dep,0.0,ἀνεδίδου,"(πλήθει,)",False,xxxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σελήνῃ,(),False,xxx̀,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,πλήθει,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
πλήθει,πλήθει,πλήθει,πλήθει,θει,π,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,conj,0.0,σελήνῃ,"(σελήνῃ,)",False,xxx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀστέρων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
ἄλλων,ἄλλων,ἄλλος,ἄλλων,λων,α,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀστέρων,(),False,x̓́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,
ἀστέρων,ἀστέρων,ἀστέρων,ἀστέρων,ρων,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,πλήθει,(),False,x̓xxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀνεδίδου,(),False,.,False,True,False,False,,,,,,,,,
