orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
τοὐ,τοὐ,τοὐ,τοὐ,οὐ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,διαγράμματος,(),False,xxx̓,False,False,False,False,,Sing,,,,,Gen,Neut,
καλλίστου,καλλίστου,καλλίστου,καλλίστου,του,κ,-20.0,ADJ,a-s---mgs,Case=Gen|Degree=Sup|Gender=Neut|Number=Sing,nmod,0.0,διαγράμματος,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,Sup
διαγράμματος,διαγράμματος,διαγράμμα,διαγράμματος,τος,δ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πηγή,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Neut,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τελεσφόρος,(),False,",",False,True,False,False,,,,,,,,,
ὃ,ὃ,ὃ,ὃ,ὃ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἁρμονίας,(),False,x̔̀,False,False,False,False,,Sing,,,,,Nom,Masc,
πάσας,πάσας,πάσας,πάσας,σας,π,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἁρμονίας,(),False,xx́xxx,False,False,False,False,,Plur,,,,,Acc,Fem,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἁρμονίας,(),False,xx̀x,False,False,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἁρμονίας,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,
ἁρμονίας,ἁρμονίας,ἁρμονία,ἁρμονίας,́ας,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,τελεσφόρος,"(τελεσφόρος, εἰπεῖν, πηγή, περιέχει, πάσας, ἀναλογίας, ἀριθμητικήν)",False,x̔xxxx́xx,False,False,False,False,,Plur,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τεττάρων,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,τεττάρων,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
τεττάρων,τεττάρων,τεσσάρων,τεττάρων,ρων,τ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἁρμονίας,(),False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πέντε,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,πέντε,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πέντε,(),False,xxx̀,False,False,False,False,,,,,,,,,
πέντε,πέντε,πέντε,πέντε,ντε,π,-20.0,NUM,a--------,,nmod,0.0,ἁρμονίας,(),False,xx́xxx,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πασῶν,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,πασῶν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,ἁρμονίας,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πάσας,(),False,",",False,True,False,False,,,,,,,,,
πάσας,πάσας,πάσας,πάσας,σας,π,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ἁρμονίας,"(τελεσφόρος, εἰπεῖν, πηγή, ἁρμονίας, περιέχει, ἀναλογίας, ἀριθμητικήν)",False,xx́xxx,False,False,False,False,,Plur,,,,,Acc,Fem,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἁρμονίας,(),False,xx̀,False,False,False,False,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἀναλογίας,(),False,xx̀x,False,False,False,False,,Plur,,,,,Acc,Fem,
ἀναλογίας,ἀναλογίας,ἀναλογία,ἀναλογίας,́ας,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,ἁρμονίας,"(τελεσφόρος, εἰπεῖν, πηγή, ἁρμονίας, περιέχει, πάσας, ἀριθμητικήν)",False,x̓xxxx́xx,False,False,False,False,,Plur,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀριθμητικήν,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀριθμητικήν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
ἀριθμητικήν,ἀριθμητικήν,ἀριθμητικήν,ἀριθμητικήν,ήν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἁρμονίας,"(τελεσφόρος, εἰπεῖν, πηγή, ἁρμονίας, περιέχει, πάσας, ἀναλογίας)",False,x̓xxxx́x,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γεωμετρικήν,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γεωμετρικήν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
γεωμετρικήν,γεωμετρικήν,γεωμετρικήν,γεωμετρικήν,ήν,γ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἁρμονίας,(),False,xxxx́x,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔτι,(),False,",",False,True,False,False,,,,,,,,,
ἔτι,ἔτι,ἔτι,ἔτι,́τι,ε,-20.0,ADV,d--------,,advmod,0.0,εἰπεῖν,(),False,x̓́xx,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,τελεσφόρος,(),False,xx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἁρμονικὴν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
ἁρμονικὴν,ἁρμονικὴν,ἁρμονικὴ,ἁρμονικὴν,ὴν,α,-20.0,NOUN,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,περιέχει,(),False,x̔xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
περιέχει,περιέχει,περιέχω,περιέχει,χει,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,τελεσφόρος,"(τελεσφόρος, εἰπεῖν, πηγή, ἁρμονίας, πάσας, ἀναλογίας, ἀριθμητικήν)",False,xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,τελεσφόρος,(),False,.,False,True,False,False,,,,,,,,,
