orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
πυραμοειδὲς,πυραμοειδὲς,πυραμοειδὲς,πυραμοειδὲς,ὲς,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,σχῆμα,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
ἀπογεννῶντες,ἀπογεννῶντες,ἀπογεννῶντες,ἀπογεννῶντες,τες,α,-20.0,VERB,v-papamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,εἰώθασι,(),False,x̓xxxx͂xxxx,False,False,False,False,Nom,Masc,Plur,Past,Part,Act,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,εἰώθασι,(),False,·,False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,τρίγωνον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἵσταται,(),False,xx̀x,False,False,False,False,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἵσταται,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἐπιπέδῳ,(),False,x̓x,False,False,False,False,,,,,,,,,
ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,δῳ,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,ἵσταται,(),False,x̓xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
τρίγωνον,τρίγωνον,τρίγωνον,τρίγωνον,νον,τ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἵσταται,(),False,xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ἵσταται,ἵσταται,ἵστημι,ἵσταται,ται,ι,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἵσταται,"(ἐπιτεθὲν, γεννᾷ)",False,x̔́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,,Ind,3
μέχρι,μέχρι,μέχρι,μέχρι,χρι,μ,-20.0,ADP,r--------,,case,0.0,τριάδος,(),False,xx́xxx,False,False,False,False,,,,,,,,,
τριάδος,τριάδος,τριάδος,τριάδος,δος,τ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἵσταται,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸ,(),False,",",False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,τρίγωνον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἵσταται,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,CCONJ,c--------,,nsubj,0.0,ἐπιτεθὲν,(),False,’,False,True,False,False,,,,,,,,,
ἐπιτεθὲν,ἐπιτεθὲν,ἐπιτεθὲν,ἐπιτεθὲν,ὲν,ε,-20.0,VERB,V-,Aspect=Perf|Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,conj,0.0,ἵσταται,"(ἵσταται, γεννᾷ)",False,x̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,Past,Part,Pass,Perf,,
τετράδα,τετράδα,τετράς,τετράδα,́δα,τ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιτεθὲν,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,τετράδα,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀριθμοῖς,(),False,x̓x,False,False,False,False,,,,,,,,,
ἀριθμοῖς,ἀριθμοῖς,ἀριθμοῖς,ἀριθμοῖς,ῖς,α,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,ἐπιτεθὲν,(),False,x̓xxxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐν,(),False,",",False,True,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἐπιπέδῳ,(),False,x̓x,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἵσταται,(),False,xx̀,False,False,False,False,,,,,,,,,
σχήμασι,σχήμασι,σχήμα,σχήμασι,ασι,σ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,γεννᾷ,(),False,xxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,
πυραμίδα,πυραμίδα,πυραμίς,πυραμίδα,́δα,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,γεννᾷ,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
γεννᾷ,γεννᾷ,γεννᾷ,γεννᾷ,ᾷ,γ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,ἵσταται,"(ἵσταται, ἐπιτεθὲν)",False,xxxx͂ͅ,False,False,False,False,,,Sing,Pres,Fin,Act,,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σῶμα,(),False,",",False,True,False,False,,,,,,,,,
στερεὸν,στερεὸν,στερεὸν,στερεὸν,ὸν,σ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,σῶμα,(),False,xxxx̀x,False,False,False,False,Acc,Neut,Sing,,,,,,
ἤδη,ἤδη,ἤδη,ἤδη,́δη,η,-20.0,ADV,d--------,,advmod,0.0,σῶμα,(),False,x̓́xx,False,False,False,False,,,,,,,,,
σῶμα,σῶμα,σῶμα,σῶμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,appos,0.0,πυραμίδα,(),False,xx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἵσταται,(),False,.,False,True,False,False,,,,,,,,,
