orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Definite,PronType
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,θέσεις,(),False,xx̀x,False,False,False,False,,,Plur,,,,,Acc,Fem,,
θέσεις,θέσεις,θέσις,θέσεις,εις,θ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀπαυτοματίσῃ,(),False,xx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Fem,,
μήτε᾽,μήτε᾽,μήτε᾽,μήτε᾽,τε᾽,μ,-20.0,PUNCT,V-,,advcl,0.0,ἀπαυτοματίσῃ,(),False,xx́xx᾽,False,False,False,False,,,,,,,,,,,
ἀνοικείους,ἀνοικείους,ἀνοικείους,ἀνοικείους,ους,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀπαυτοματίσῃ,(),False,x̓xxxx́xxx,False,False,False,False,,,Plur,,,,,Acc,Fem,,
μήτε᾽,μήτε᾽,μήτε᾽,μήτε᾽,τε᾽,μ,-20.0,PUNCT,V-,,ROOT,0.0,μήτε᾽,(),False,xx́xx᾽,False,False,False,False,,,,,,,,,,,
ἀναρμόστους,ἀναρμόστους,ἀναρμόστους,ἀναρμόστους,ους,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,amod,0.0,μήτε᾽,(),False,x̓xxxx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Fem,,
ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ἀλλὰ᾽,ὰ᾽,α,-20.0,PUNCT,V-,,ROOT,0.0,ἀλλὰ᾽,(),False,x̓xxx̀᾽,False,False,False,False,,,,,,,,,,,
ἐμφαινούσας,ἐμφαινούσας,ἐμφαινούσας,ἐμφαινούσας,σας,ε,-20.0,VERB,v-pppafa-,Case=Acc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,ἀλλὰ᾽,(),False,x̓xxxx́xxx,False,False,False,False,,,Plur,,Pres,Part,Act,Acc,Fem,,
εὖ,εὖ,εὖ,εὖ,ὖ,ε,-20.0,ADV,d--------,,advmod,0.0,ἰδιότητας,(),False,xx̓͂,False,False,False,False,,,,,,,,,,,
μάλα,μάλα,μάλα,μάλα,́λα,μ,-20.0,ADV,d--------,,advmod,0.0,εὖ,(),False,xx́xx,False,False,False,False,,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἰδιότητας,(),False,xx̀x,False,False,False,False,,,Plur,,,,,Acc,Fem,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,S-,Case=Gen|Definite=Def|Number=Plur|PronType=Dem,det,0.0,ὑποκειμένων,(),False,xx͂x,False,False,False,False,,,Plur,,,,,Gen,,Def,Dem
ὑποκειμένων,ὑποκειμένων,ὑποκειμένων,ὑποκειμένων,νων,υ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,ἰδιότητας,(),False,x̔xxxx́xxx,False,False,False,False,,,Plur,,Pres,Part,Mid,Gen,Masc,,
ἰδιότητας,ἰδιότητας,ἰδιότητη,ἰδιότητας,τας,ι,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἐμφαινούσας,(),False,x̓xxx́xxxx,False,False,False,False,,,Plur,,,,,Acc,Fem,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,ROOT,0.0,.,(),False,.,False,True,False,False,,,,,,,,,,,
