orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
τετράγωνον,τετράγωνον,τετράγωνος,τετράγωνον,νον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,κύβον,"(κύβον,)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,εὑρήσει,(),False,·,False,True,False,False,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,dep,0.0,συντεθεὶς,(),False,x̓xx̀,False,False,False,False,,,,,,,,
γοῦν,γοῦν,γοῦν,γοῦν,ῦν,γ,-20.0,ADV,d--------,,advmod,0.0,συντεθεὶς,(),False,xxx͂x,False,False,False,False,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,ἑξηκοντατέσσαρα,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,
ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,ἑξηκοντατέσσαρα,αρα,ε,-20.0,ADJ,a--------,,xcomp,0.0,συντεθεὶς,(),False,x̔xxxx́xxxx,False,False,False,False,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,συντεθεὶς,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
συντεθεὶς,συντεθεὶς,συντεθεὶς,συντεθεὶς,ὶς,σ,-20.0,VERB,v-sappmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,ROOT,0.0,συντεθεὶς,"(κύβον, ἑκκαίδεκα)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Pass,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,λόγῳ,(),False,x̓x,False,False,False,False,,,,,,,,
διπλασίονι,διπλασίονι,διπλασίονι,διπλασίονι,ονι,δ,-20.0,ADJ,a-s----d-,Case=Dat|Number=Sing,nmod,0.0,λόγῳ,(),False,xxxx́xxx,False,False,False,False,Dat,,Sing,,,,,
λόγῳ,λόγῳ,λόγῳ,λόγῳ,γῳ,λ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,συντεθεὶς,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,
γεννήσει,γεννήσει,γεννήθω,γεννήσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,συντεθεὶς,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,
ἕβδομον,ἕβδομον,ἕβδομος,ἕβδομον,μον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,συντεθεὶς,(),False,x̔́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,τετρακισχίλια,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
τετρακισχίλια,τετρακισχίλια,τετρακισχίλιοι,τετρακισχίλια,λια,τ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,amod,0.0,ἕβδομον,"(ἐνενηκονταέξ,)",False,xxxx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τετρακισχίλια,(),False,xxx̀,False,False,False,False,,,,,,,,
ἐνενηκονταέξ,ἐνενηκονταέξ,ἐνενηκονταέξ,ἐνενηκονταέξ,έξ,ε,-20.0,NUM,m--------,,conj,0.0,τετρακισχίλια,"(τετρακισχίλια,)",False,x̓xxxx́x,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τετράγωνον,(),False,",",False,True,False,False,,,,,,,,
τετράγωνον,τετράγωνον,τετράγωνος,τετράγωνον,νον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,appos,0.0,συντεθεὶς,"(κύβον,)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,τετράγωνον,(),False,x̔xxx͂,False,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τετράγωνον,(),False,xxx̀,False,False,False,False,,,,,,,,
κύβον,κύβον,κύβος,κύβον,βον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,τετράγωνον,"(τετράγωνον,)",False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἔχοντα,(),False,",",False,True,False,False,,,,,,,,
τετράγωνον,τετράγωνον,τετράγωνος,τετράγωνον,νον,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,αὐτὸν,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἔχοντα,(),False,xx̀x,False,False,False,False,,,,,,,,
αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,ὸν,α,-20.0,PRON,p-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔχοντα,(),False,xx̓xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
πλευρὰν,πλευρὰν,πλευρὰν,πλευρὰν,ὰν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχοντα,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἔχοντα,ἔχοντα,ἔχω,ἔχοντα,ντα,ε,-20.0,VERB,v-sppama-,Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,obl,0.0,συντεθεὶς,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,Pres,Part,Act,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἐξηκοντατέσσαρα,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
ἐξηκοντατέσσαρα,ἐξηκοντατέσσαρα,ἐξηκοντατέσσαροι,ἐξηκοντατέσσαρα,αρα,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἔχοντα,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐξηκοντατέσσαρα,(),False,",",False,True,False,False,,,,,,,,
κύβον,κύβον,κύβος,κύβον,βον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,συντεθεὶς,"(συντεθεὶς, ἑκκαίδεκα)",False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,συντεθεὶς,(),False,xx̀,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἑκκαίδεκα,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
ἑκκαίδεκα,ἑκκαίδεκα,ἑκκαίδεκα,ἑκκαίδεκα,εκα,ε,-20.0,NUM,a--------,,conj,0.0,συντεθεὶς,"(συντεθεὶς, κύβον)",False,x̔xxxx́xxxx,False,False,False,False,,,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,συντεθεὶς,(),False,.,False,True,False,False,,,,,,,,
